"time_rounded","باران","تابش خورشیدی","جهت باد","دما","رطوبت","سرعت باد","فشار هوا"
"2025-12-03 00:00:00","0.6","0.0","","6.3","38.4","0.9","91.9"
"2025-12-03 00:10:00","0.6","0.0","318.7","5.4","42.0","2.7","91.9"
"2025-12-03 00:20:00","0.6","0.0","333.5","5.4","40.1","3.9","91.8"
"2025-12-03 00:30:00","0.6","0.0","314.8","4.9","40.9","6.6","91.8"
"2025-12-03 00:40:00","0.6","0.0","338.0","5.2","40.8","4.2","91.9"
"2025-12-03 00:50:00","0.6","0.0","337.0","4.8","41.0","4.8","91.8"
"2025-12-03 01:00:00","0.6","0.0","337.2","4.7","41.4","3.7","91.8"
"2025-12-03 01:10:00","0.6","0.0","3.0","4.6","40.9","2.3","91.8"
"2025-12-03 01:20:00","0.6","0.0","324.1","4.7","41.7","5.3","91.9"
"2025-12-03 01:30:00","0.6","0.0","327.3","4.8","41.6","1.9","91.9"
"2025-12-03 01:40:00","0.6","0.0","324.6","5.1","41.2","7.3","91.9"
"2025-12-03 01:50:00","0.6","0.0","314.9","5.2","41.8","1.8","91.9"
"2025-12-03 02:00:00","0.6","0.0","312.8","5.5","41.1","2.9","91.9"
"2025-12-03 02:10:00","0.6","0.0","344.0","5.8","40.1","2.7","91.9"
"2025-12-03 02:20:00","0.6","0.0","349.3","6.0","40.2","2.4","91.9"
"2025-12-03 02:30:00","0.6","0.0","313.5","6.0","40.4","4.5","91.9"
"2025-12-03 02:40:00","0.6","0.0","334.9","6.2","40.3","2.4","91.9"
"2025-12-03 02:50:00","0.6","0.0","283.6","6.3","40.4","0.5","92.0"
"2025-12-03 03:00:00","0.6","0.0","335.5","6.5","39.9","0.7","92.0"
"2025-12-03 03:10:00","0.6","0.0","286.2","6.7","39.1","0.5","92.0"
"2025-12-03 03:20:00","0.6","0.0","323.1","7.1","38.1","4.3","92.0"
"2025-12-03 03:30:00","0.6","0.0","244.2","7.0","38.8","1.6","92.0"
"2025-12-03 03:40:00","0.6","0.0","299.6","7.1","38.2","2.6","92.0"
"2025-12-03 03:50:00","0.6","0.0","278.2","7.3","37.8","1.0","92.0"
"2025-12-03 04:00:00","0.6","0.0","280.0","7.2","38.3","0.9","92.0"
"2025-12-03 04:10:00","0.6","0.0","336.4","7.5","37.5","1.3","92.0"
"2025-12-03 04:20:00","0.6","0.0","325.9","8.0","35.6","0.6","92.0"
"2025-12-03 04:30:00","0.6","0.0","311.9","7.9","36.3","1.2","92.0"
"2025-12-03 04:40:00","0.6","0.0","307.4","7.5","36.3","1.0","91.9"
"2025-12-03 04:50:00","0.6","0.0","316.3","6.1","41.3","4.3","92.0"
"2025-12-03 05:00:00","0.6","0.0","297.7","5.8","41.5","2.2","92.0"
"2025-12-03 05:10:00","0.6","0.0","307.4","6.7","39.0","1.7","92.0"
"2025-12-03 05:20:00","0.6","0.0","208.2","7.0","39.2","1.2","92.1"
"2025-12-03 05:30:00","0.6","0.0","123.8","7.2","39.3","0.0","92.1"
"2025-12-03 05:40:00","0.6","0.0","83.0","7.4","37.6","1.2","92.0"
"2025-12-03 05:50:00","0.6","0.0","199.5","7.5","37.8","0.0","92.1"
"2025-12-03 06:00:00","0.6","0.0","327.3","7.9","36.3","2.2","92.1"
"2025-12-03 06:10:00","0.6","1.0","322.8","8.0","36.3","4.0","92.1"
"2025-12-03 06:20:00","0.6","1.0","320.1","7.9","36.6","0.0","92.1"
"2025-12-03 06:30:00","0.6","2.0","326.2","8.0","37.3","4.9","92.1"
"2025-12-03 06:40:00","0.6","5.0","339.2","8.2","36.6","1.2","92.1"
"2025-12-03 06:50:00","0.6","8.0","324.9","8.4","36.8","0.1","92.2"
"2025-12-03 07:00:00","0.6","11.0","319.8","8.5","36.4","4.0","92.2"
"2025-12-03 07:10:00","0.6","12.0","115.9","8.7","36.2","1.2","92.2"
"2025-12-03 07:20:00","0.6","17.0","211.6","8.8","36.1","1.8","92.2"
"2025-12-03 07:30:00","0.6","24.0","342.9","9.1","35.2","0.5","92.2"
"2025-12-03 07:40:00","0.6","37.0","97.7","9.3","35.2","1.3","92.3"
"2025-12-03 07:50:00","0.6","57.0","130.4","9.4","35.2","2.6","92.3"
"2025-12-03 08:00:00","0.6","48.0","13.0","10.0","34.8","0.9","92.4"
