تاریخ و زمان,نوع سنسور,مقدار,واحد
2026-01-25 03:27:12,دما,1.6,°C
2026-01-25 03:27:12,رطوبت,61.8,%
2026-01-25 03:27:12,فشار هوا,92.3,kPa
2026-01-25 03:27:12,تابش خورشیدی,0,W/m2
2026-01-25 03:27:12,باران,171,mm
2026-01-25 03:27:12,سرعت باد,5.7,km/h
2026-01-25 03:27:12,جهت باد,106.1,degree
2026-01-25 03:17:21,دما,0.7,°C
2026-01-25 03:17:21,رطوبت,66.5,%
2026-01-25 03:17:21,باران,171,mm
2026-01-25 03:17:21,فشار هوا,92.2,kPa
2026-01-25 03:17:21,جهت باد,87.2,degree
2026-01-25 03:17:21,سرعت باد,5.1,km/h
2026-01-25 03:17:21,تابش خورشیدی,0,W/m2
2026-01-25 03:07:10,جهت باد,130.7,degree
2026-01-25 03:07:10,دما,0.4,°C
2026-01-25 03:07:10,رطوبت,67.7,%
2026-01-25 03:07:10,باران,171,mm
2026-01-25 03:07:10,فشار هوا,92.2,kPa
2026-01-25 03:07:10,سرعت باد,3,km/h
2026-01-25 03:07:10,تابش خورشیدی,0,W/m2
2026-01-25 02:57:15,جهت باد,98.7,degree
2026-01-25 02:57:15,باران,171,mm
2026-01-25 02:57:15,رطوبت,66.3,%
2026-01-25 02:57:15,سرعت باد,3.2,km/h
2026-01-25 02:57:15,فشار هوا,92.3,kPa
2026-01-25 02:57:15,دما,0.7,°C
2026-01-25 02:57:15,تابش خورشیدی,0,W/m2
2026-01-25 02:47:08,جهت باد,80.7,degree
2026-01-25 02:47:08,باران,171,mm
2026-01-25 02:47:08,تابش خورشیدی,0,W/m2
2026-01-25 02:47:08,رطوبت,64.9,%
2026-01-25 02:47:08,دما,1.2,°C
2026-01-25 02:47:08,سرعت باد,3.7,km/h
2026-01-25 02:47:08,فشار هوا,92.3,kPa
2026-01-25 02:37:11,فشار هوا,92.4,kPa
2026-01-25 02:37:11,رطوبت,62.2,%
2026-01-25 02:37:11,تابش خورشیدی,0,W/m2
2026-01-25 02:37:11,باران,171,mm
2026-01-25 02:37:11,سرعت باد,3.5,km/h
2026-01-25 02:37:11,دما,1.8,°C
2026-01-25 02:37:11,جهت باد,95.1,degree
2026-01-25 02:27:09,سرعت باد,4.9,km/h
2026-01-25 02:27:09,فشار هوا,92.5,kPa
2026-01-25 02:27:09,جهت باد,78.1,degree
2026-01-25 02:27:09,دما,3.2,°C
2026-01-25 02:27:09,تابش خورشیدی,0,W/m2
2026-01-25 02:27:09,رطوبت,55.5,%
2026-01-25 02:27:09,باران,171,mm
2026-01-25 02:17:09,فشار هوا,92.4,kPa
2026-01-25 02:17:09,دما,3.3,°C
2026-01-25 02:17:09,سرعت باد,3.8,km/h
2026-01-25 02:17:09,رطوبت,53.6,%
2026-01-25 02:17:09,جهت باد,227.3,degree
2026-01-25 02:17:09,تابش خورشیدی,0,W/m2
2026-01-25 02:17:09,باران,171,mm
2026-01-25 02:07:31,تابش خورشیدی,0,W/m2
2026-01-25 02:07:31,جهت باد,127.1,degree
2026-01-25 02:07:31,فشار هوا,92.5,kPa
2026-01-25 02:07:31,باران,171,mm
2026-01-25 02:07:31,رطوبت,58.7,%
2026-01-25 02:07:31,دما,2.7,°C
2026-01-25 02:07:31,سرعت باد,3.3,km/h
2026-01-25 02:07:28,فشار هوا,92.5,kPa
2026-01-25 02:07:28,تابش خورشیدی,0,W/m2
2026-01-25 02:07:28,رطوبت,58.7,%
2026-01-25 02:07:28,دما,2.7,°C
2026-01-25 02:07:28,سرعت باد,3.3,km/h
2026-01-25 02:07:28,جهت باد,127.1,degree
2026-01-25 02:07:28,باران,171,mm
2026-01-25 01:57:31,تابش خورشیدی,0,W/m2
2026-01-25 01:57:31,سرعت باد,5.3,km/h
2026-01-25 01:57:31,فشار هوا,92.4,kPa
2026-01-25 01:57:31,دما,2.9,°C
2026-01-25 01:57:31,رطوبت,56.7,%
2026-01-25 01:57:31,جهت باد,208.1,degree
2026-01-25 01:57:31,باران,171,mm
2026-01-25 01:57:28,دما,2.9,°C
2026-01-25 01:57:28,باران,171,mm
2026-01-25 01:57:28,جهت باد,208.1,degree
2026-01-25 01:57:28,فشار هوا,92.4,kPa
2026-01-25 01:57:28,تابش خورشیدی,0,W/m2
2026-01-25 01:57:28,رطوبت,56.7,%
2026-01-25 01:57:28,سرعت باد,5.3,km/h
2026-01-25 01:47:02,سرعت باد,1.4,km/h
2026-01-25 01:47:02,جهت باد,115.9,degree
2026-01-25 01:47:02,تابش خورشیدی,0,W/m2
2026-01-25 01:47:02,باران,171,mm
2026-01-25 01:47:02,دما,2.3,°C
2026-01-25 01:47:02,فشار هوا,92.4,kPa
2026-01-25 01:47:02,رطوبت,61.5,%
2026-01-25 01:37:01,فشار هوا,92.4,kPa
2026-01-25 01:37:01,تابش خورشیدی,0,W/m2
2026-01-25 01:37:01,رطوبت,61.4,%
2026-01-25 01:37:01,باران,171,mm
2026-01-25 01:37:01,سرعت باد,3.1,km/h
2026-01-25 01:37:01,دما,2.3,°C
2026-01-25 01:37:01,جهت باد,139.4,degree
2026-01-25 01:27:00,باران,171,mm
2026-01-25 01:27:00,تابش خورشیدی,0,W/m2
2026-01-25 01:27:00,رطوبت,60.6,%
2026-01-25 01:27:00,فشار هوا,92.5,kPa
2026-01-25 01:27:00,جهت باد,110.4,degree
2026-01-25 01:27:00,سرعت باد,4.4,km/h
2026-01-25 01:27:00,دما,2.6,°C
2026-01-25 01:16:59,جهت باد,225.3,degree
2026-01-25 01:16:59,فشار هوا,92.5,kPa
2026-01-25 01:16:59,رطوبت,56.8,%
2026-01-25 01:16:59,دما,3.2,°C
2026-01-25 01:16:59,سرعت باد,6.3,km/h
2026-01-25 01:16:59,باران,171,mm
2026-01-25 01:16:59,تابش خورشیدی,0,W/m2
2026-01-25 01:07:02,دما,3.5,°C
2026-01-25 01:07:02,فشار هوا,92.5,kPa
2026-01-25 01:07:02,باران,171,mm
2026-01-25 01:07:02,سرعت باد,8.4,km/h
2026-01-25 01:07:02,رطوبت,55.3,%
2026-01-25 01:07:02,تابش خورشیدی,0,W/m2
2026-01-25 01:07:02,جهت باد,221.8,degree
2026-01-25 00:57:07,فشار هوا,92.5,kPa
2026-01-25 00:57:07,دما,3.9,°C
2026-01-25 00:57:07,سرعت باد,10.7,km/h
2026-01-25 00:57:07,تابش خورشیدی,0,W/m2
2026-01-25 00:57:07,جهت باد,221,degree
2026-01-25 00:57:07,باران,171,mm
2026-01-25 00:57:07,رطوبت,53.3,%
2026-01-25 00:46:57,تابش خورشیدی,0,W/m2
2026-01-25 00:46:57,دما,4,°C
2026-01-25 00:46:57,جهت باد,214.3,degree
2026-01-25 00:46:57,سرعت باد,11.7,km/h
2026-01-25 00:46:57,فشار هوا,92.5,kPa
2026-01-25 00:46:57,باران,171,mm
2026-01-25 00:46:57,رطوبت,52.7,%
2026-01-25 00:27:14,دما,4.1,°C
2026-01-25 00:27:14,فشار هوا,92.6,kPa
2026-01-25 00:27:14,سرعت باد,9.4,km/h
2026-01-25 00:27:14,رطوبت,52.5,%
2026-01-25 00:27:14,باران,171,mm
2026-01-25 00:27:14,تابش خورشیدی,0,W/m2
2026-01-25 00:27:14,جهت باد,219.5,degree
2026-01-25 00:06:53,جهت باد,222.5,degree
2026-01-25 00:06:53,تابش خورشیدی,0,W/m2
2026-01-25 00:06:53,فشار هوا,92.5,kPa
2026-01-25 00:06:53,سرعت باد,13.3,km/h
2026-01-25 00:06:53,باران,171,mm
2026-01-25 00:06:53,رطوبت,47.5,%
2026-01-25 00:06:53,دما,4.7,°C
2026-01-24 23:57:01,فشار هوا,92.5,kPa
2026-01-24 23:57:01,رطوبت,47.8,%
2026-01-24 23:57:01,دما,4.7,°C
2026-01-24 23:57:01,تابش خورشیدی,0,W/m2
2026-01-24 23:57:01,باران,171,mm
2026-01-24 23:57:01,سرعت باد,15.3,km/h
2026-01-24 23:57:01,جهت باد,225.7,degree
2026-01-24 23:46:51,رطوبت,49.8,%
2026-01-24 23:46:51,سرعت باد,12.9,km/h
2026-01-24 23:46:51,دما,4.5,°C
2026-01-24 23:46:51,باران,171,mm
2026-01-24 23:46:51,تابش خورشیدی,0,W/m2
2026-01-24 23:46:51,فشار هوا,92.5,kPa
2026-01-24 23:46:51,جهت باد,227,degree
2026-01-24 23:37:18,جهت باد,224.2,degree
2026-01-24 23:37:18,رطوبت,50.1,%
2026-01-24 23:37:18,فشار هوا,92.5,kPa
2026-01-24 23:37:18,تابش خورشیدی,0,W/m2
2026-01-24 23:37:18,دما,4.4,°C
2026-01-24 23:37:18,باران,171,mm
2026-01-24 23:37:18,سرعت باد,17.5,km/h
2026-01-24 23:17:13,تابش خورشیدی,0,W/m2
2026-01-24 23:17:13,باران,171,mm
2026-01-24 23:17:13,دما,3.1,°C
2026-01-24 23:17:13,سرعت باد,11.6,km/h
2026-01-24 23:17:13,رطوبت,58.4,%
2026-01-24 23:17:13,جهت باد,228.2,degree
2026-01-24 23:17:13,فشار هوا,92.4,kPa
2026-01-24 23:17:10,رطوبت,58.4,%
2026-01-24 23:17:10,باران,171,mm
2026-01-24 23:17:10,تابش خورشیدی,0,W/m2
2026-01-24 23:17:10,دما,3.1,°C
2026-01-24 23:17:10,فشار هوا,92.4,kPa
2026-01-24 23:17:10,سرعت باد,11.6,km/h
2026-01-24 23:17:10,جهت باد,228.2,degree
2026-01-24 23:07:16,سرعت باد,9.1,km/h
2026-01-24 23:07:16,دما,2.4,°C
2026-01-24 23:07:16,جهت باد,233.1,degree
2026-01-24 23:07:16,باران,171,mm
2026-01-24 23:07:16,رطوبت,62,%
2026-01-24 23:07:16,فشار هوا,92.4,kPa
2026-01-24 23:07:16,تابش خورشیدی,0,W/m2
2026-01-24 23:07:10,تابش خورشیدی,0,W/m2
2026-01-24 23:07:10,سرعت باد,9.1,km/h
2026-01-24 23:07:10,جهت باد,233.1,degree
2026-01-24 23:07:10,دما,2.4,°C
2026-01-24 23:07:10,رطوبت,62,%
2026-01-24 23:07:10,فشار هوا,92.4,kPa
2026-01-24 23:07:10,باران,171,mm
2026-01-24 22:56:48,تابش خورشیدی,0,W/m2
2026-01-24 22:56:48,جهت باد,243.8,degree
2026-01-24 22:56:48,باران,171,mm
2026-01-24 22:56:48,فشار هوا,92.4,kPa
2026-01-24 22:56:48,سرعت باد,7.6,km/h
2026-01-24 22:56:48,دما,2.3,°C
2026-01-24 22:56:48,رطوبت,63.4,%
2026-01-24 22:36:42,سرعت باد,6.3,km/h
2026-01-24 22:36:42,رطوبت,64,%
2026-01-24 22:36:42,جهت باد,222.4,degree
2026-01-24 22:36:42,باران,171,mm
2026-01-24 22:36:42,فشار هوا,92.4,kPa
2026-01-24 22:36:42,تابش خورشیدی,0,W/m2
2026-01-24 22:36:42,دما,2.7,°C
2026-01-24 22:26:41,رطوبت,62.5,%
2026-01-24 22:26:41,تابش خورشیدی,0,W/m2
2026-01-24 22:26:41,باران,171,mm
2026-01-24 22:26:41,جهت باد,230.2,degree
2026-01-24 22:26:41,سرعت باد,7.6,km/h
2026-01-24 22:26:41,فشار هوا,92.5,kPa
2026-01-24 22:26:41,دما,3.2,°C
2026-01-24 22:16:40,رطوبت,61.2,%
2026-01-24 22:16:40,باران,171,mm
2026-01-24 22:16:40,دما,3.6,°C
2026-01-24 22:16:40,سرعت باد,9.8,km/h
2026-01-24 22:16:40,فشار هوا,92.5,kPa
2026-01-24 22:16:40,جهت باد,227.5,degree
2026-01-24 22:16:40,تابش خورشیدی,0,W/m2
2026-01-24 22:06:43,دما,4,°C
2026-01-24 22:06:43,فشار هوا,92.5,kPa
2026-01-24 22:06:43,باران,171,mm
2026-01-24 22:06:43,جهت باد,225.3,degree
2026-01-24 22:06:43,تابش خورشیدی,0,W/m2
2026-01-24 22:06:43,سرعت باد,12.9,km/h
2026-01-24 22:06:43,رطوبت,59.3,%
2026-01-24 21:56:49,جهت باد,234.9,degree
2026-01-24 21:56:49,تابش خورشیدی,0,W/m2
2026-01-24 21:56:49,رطوبت,61.5,%
2026-01-24 21:56:49,فشار هوا,92.5,kPa
2026-01-24 21:56:49,سرعت باد,7.5,km/h
2026-01-24 21:56:49,باران,171,mm
2026-01-24 21:56:49,دما,3.7,°C
2026-01-24 21:47:05,جهت باد,228.9,degree
2026-01-24 21:47:05,دما,3.7,°C
2026-01-24 21:47:05,فشار هوا,92.5,kPa
2026-01-24 21:47:05,تابش خورشیدی,0,W/m2
2026-01-24 21:47:05,سرعت باد,11.1,km/h
2026-01-24 21:47:05,رطوبت,62.5,%
2026-01-24 21:47:05,باران,171,mm
2026-01-24 21:47:01,فشار هوا,92.5,kPa
2026-01-24 21:47:01,تابش خورشیدی,0,W/m2
2026-01-24 21:47:01,دما,3.7,°C
2026-01-24 21:47:01,باران,171,mm
2026-01-24 21:47:01,جهت باد,228.9,degree
2026-01-24 21:47:01,رطوبت,62.5,%
2026-01-24 21:47:01,سرعت باد,11.1,km/h
2026-01-24 21:36:58,رطوبت,63,%
2026-01-24 21:36:58,تابش خورشیدی,0,W/m2
2026-01-24 21:36:58,جهت باد,223.1,degree
2026-01-24 21:36:58,سرعت باد,9.6,km/h
2026-01-24 21:36:58,دما,3.5,°C
2026-01-24 21:36:58,فشار هوا,92.5,kPa
2026-01-24 21:36:58,باران,171,mm
2026-01-24 21:07:00,فشار هوا,92.5,kPa
2026-01-24 21:07:00,تابش خورشیدی,0,W/m2
2026-01-24 21:07:00,دما,4,°C
2026-01-24 21:07:00,رطوبت,61.6,%
2026-01-24 21:07:00,جهت باد,216.8,degree
2026-01-24 21:07:00,سرعت باد,12.2,km/h
2026-01-24 21:07:00,باران,171,mm
2026-01-24 21:06:57,باران,171,mm
2026-01-24 21:06:57,فشار هوا,92.5,kPa
2026-01-24 21:06:57,جهت باد,216.8,degree
2026-01-24 21:06:57,سرعت باد,12.2,km/h
2026-01-24 21:06:57,رطوبت,61.6,%
2026-01-24 21:06:57,دما,4,°C
2026-01-24 21:06:57,تابش خورشیدی,0,W/m2
2026-01-24 20:56:32,تابش خورشیدی,0,W/m2
2026-01-24 20:56:32,جهت باد,205.2,degree
2026-01-24 20:56:32,رطوبت,56.6,%
2026-01-24 20:56:32,فشار هوا,92.6,kPa
2026-01-24 20:56:32,سرعت باد,11.7,km/h
2026-01-24 20:56:32,دما,4.6,°C
2026-01-24 20:56:32,باران,171,mm
2026-01-24 20:46:53,فشار هوا,92.7,kPa
2026-01-24 20:46:53,باران,171,mm
2026-01-24 20:46:53,رطوبت,53.9,%
2026-01-24 20:46:53,دما,5.1,°C
2026-01-24 20:46:53,جهت باد,219.1,degree
2026-01-24 20:46:53,تابش خورشیدی,0,W/m2
2026-01-24 20:46:53,سرعت باد,8.8,km/h
2026-01-24 20:37:45,باران,171,mm
2026-01-24 20:37:45,رطوبت,51.3,%
2026-01-24 20:37:45,دما,5.3,°C
2026-01-24 20:37:45,تابش خورشیدی,0,W/m2
2026-01-24 20:37:45,سرعت باد,12.5,km/h
2026-01-24 20:37:45,جهت باد,220.9,degree
2026-01-24 20:37:45,فشار هوا,92.6,kPa
2026-01-24 20:27:20,رطوبت,49.2,%
2026-01-24 20:27:20,تابش خورشیدی,0,W/m2
2026-01-24 20:27:20,دما,5.9,°C
2026-01-24 20:27:20,جهت باد,221.2,degree
2026-01-24 20:27:20,سرعت باد,13.2,km/h
2026-01-24 20:27:20,فشار هوا,92.7,kPa
2026-01-24 20:27:20,باران,171,mm
2026-01-24 20:16:28,باران,171,mm
2026-01-24 20:16:28,سرعت باد,18.3,km/h
2026-01-24 20:16:28,جهت باد,224,degree
2026-01-24 20:16:28,دما,6.4,°C
2026-01-24 20:16:28,فشار هوا,92.6,kPa
2026-01-24 20:16:28,تابش خورشیدی,0,W/m2
2026-01-24 20:16:28,رطوبت,46.2,%
2026-01-24 20:06:31,سرعت باد,13.6,km/h
2026-01-24 20:06:31,جهت باد,221.2,degree
2026-01-24 20:06:31,دما,5.1,°C
2026-01-24 20:06:31,تابش خورشیدی,0,W/m2
2026-01-24 20:06:31,باران,171,mm
2026-01-24 20:06:31,رطوبت,52.6,%
2026-01-24 20:06:31,فشار هوا,92.6,kPa
2026-01-24 19:56:26,فشار هوا,92.7,kPa
2026-01-24 19:56:26,تابش خورشیدی,0,W/m2
2026-01-24 19:56:26,جهت باد,225.6,degree
2026-01-24 19:56:26,سرعت باد,5.5,km/h
2026-01-24 19:56:26,دما,5.1,°C
2026-01-24 19:56:26,باران,171,mm
2026-01-24 19:56:26,رطوبت,52.9,%
2026-01-24 19:46:36,جهت باد,225.3,degree
2026-01-24 19:46:36,رطوبت,45.8,%
2026-01-24 19:46:36,سرعت باد,7.6,km/h
2026-01-24 19:46:36,دما,6.2,°C
2026-01-24 19:46:36,باران,171,mm
2026-01-24 19:46:36,فشار هوا,92.7,kPa
2026-01-24 19:46:36,تابش خورشیدی,0,W/m2
2026-01-24 19:36:58,فشار هوا,92.7,kPa
2026-01-24 19:36:58,دما,6.7,°C
2026-01-24 19:36:58,رطوبت,41.2,%
2026-01-24 19:36:58,باران,171,mm
2026-01-24 19:36:58,تابش خورشیدی,0,W/m2
2026-01-24 19:36:58,سرعت باد,11.7,km/h
2026-01-24 19:36:58,جهت باد,214.6,degree
2026-01-24 19:36:50,باران,171,mm
2026-01-24 19:36:50,فشار هوا,92.7,kPa
2026-01-24 19:36:50,رطوبت,41.2,%
2026-01-24 19:36:50,دما,6.7,°C
2026-01-24 19:36:50,تابش خورشیدی,0,W/m2
2026-01-24 19:36:50,سرعت باد,11.7,km/h
2026-01-24 19:36:50,جهت باد,214.6,degree
2026-01-24 19:26:27,فشار هوا,92.6,kPa
2026-01-24 19:26:27,جهت باد,214.5,degree
2026-01-24 19:26:27,باران,171,mm
2026-01-24 19:26:27,دما,5,°C
2026-01-24 19:26:27,رطوبت,52.5,%
2026-01-24 19:26:27,سرعت باد,7.3,km/h
2026-01-24 19:26:27,تابش خورشیدی,0,W/m2
2026-01-24 19:16:22,رطوبت,53.3,%
2026-01-24 19:16:22,دما,5.3,°C
2026-01-24 19:16:22,فشار هوا,92.7,kPa
2026-01-24 19:16:22,جهت باد,257.9,degree
2026-01-24 19:16:22,تابش خورشیدی,0,W/m2
2026-01-24 19:16:22,سرعت باد,3.8,km/h
2026-01-24 19:16:22,باران,171,mm
2026-01-24 19:08:02,فشار هوا,92.7,kPa
2026-01-24 19:08:02,تابش خورشیدی,0,W/m2
2026-01-24 19:08:02,جهت باد,211.3,degree
2026-01-24 19:08:02,دما,5.8,°C
2026-01-24 19:08:02,رطوبت,49.5,%
2026-01-24 19:08:02,سرعت باد,10.4,km/h
2026-01-24 19:08:02,باران,171,mm
2026-01-24 19:07:15,رطوبت,49.5,%
2026-01-24 19:07:15,سرعت باد,10.4,km/h
2026-01-24 19:07:15,تابش خورشیدی,0,W/m2
2026-01-24 19:07:15,باران,171,mm
