زمان,باران 6 (mm),تابش خورشیدی 7 (W/m2),جهت باد 5 (degree),دما 1 (°C),رطوبت 2 (%),سرعت باد 4 (km/h),فشار هوا 3 (kPa)
00:00                                                     1405/03/22,290.2mm,0W/m2,39.3degree,12.0°C,60.6%,1.5km/h,91.4kPa
00:00                                                     1405/03/23,290.6mm,0W/m2,303.2degree,11.1°C,68.7%,4.2km/h,91.8kPa
00:00                                                     1405/03/24,290.6mm,0W/m2,343.8degree,15.5°C,53.7%,1.3km/h,91.6kPa
00:00                                                     1405/03/25,290.6mm,0W/m2,305.2degree,18.4°C,47.7%,2.1km/h,91.2kPa
00:00                                                     1405/03/26,295.0mm,0W/m2,165.2degree,11.8°C,87.4%,3.2km/h,91.1kPa
00:00                                                     1405/03/27,295.0mm,0W/m2,296.7degree,15.3°C,68.4%,1.8km/h,91.2kPa
00:00                                                     1405/03/28,297.4mm,0W/m2,313.4degree,15.3°C,84.2%,2.8km/h,90.8kPa
00:00                                                     1405/03/29,304.2mm,0W/m2,328.3degree,11.2°C,70.0%,4.5km/h,90.9kPa
00:00                                                     1405/03/30,325.8mm,0W/m2,241.1degree,10.3°C,76.3%,4.7km/h,91.0kPa
00:00                                                     1405/03/31,325.8mm,0W/m2,250.9degree,15.0°C,52.7%,0.8km/h,91.2kPa
00:00                                                     1405/04/01,325.8mm,0W/m2,179.4degree,18.5°C,42.9%,10.7km/h,91.0kPa
00:00                                                     1405/04/02,350.4mm,0W/m2,320.0degree,10.0°C,81.0%,4.3km/h,91.6kPa
00:00                                                     1405/04/03,350.6mm,0W/m2,236.6degree,9.1°C,88.0%,1.1km/h,91.6kPa
00:00                                                     1405/04/04,350.6mm,0W/m2,321.7degree,10.9°C,79.6%,1.0km/h,91.3kPa
00:00                                                     1405/04/09,406.4mm,0W/m2,312.4degree,10.1°C,83.6%,3.2km/h,91.5kPa
00:00                                                     1405/04/10,406.4mm,0W/m2,113.6degree,14.2°C,60.4%,1.7km/h,91.7kPa
00:00                                                     1405/04/11,406.8mm,0W/m2,302.7degree,9.7°C,81.9%,2.3km/h,92.1kPa
00:00                                                     1405/04/12,406.8mm,0W/m2,292.5degree,13.2°C,65.2%,1.8km/h,92.1kPa
00:00                                                     1405/04/13,355.2mm,0W/m2,253.0degree,15.3°C,53.5%,5.8km/h,91.6kPa
00:00                                                     1405/04/14,355.2mm,0W/m2,331.8degree,16.5°C,60.2%,7.0km/h,91.4kPa
00:00                                                     1405/04/15,355.2mm,0W/m2,184.4degree,9.1°C,77.1%,6.6km/h,91.9kPa
00:00                                                     1405/04/16,355.2mm,0W/m2,78.1degree,12.2°C,62.5%,5.5km/h,91.8kPa
00:00                                                     1405/04/17,355.2mm,0W/m2,357.5degree,8.4°C,71.6%,2.7km/h,92.3kPa
00:00                                                     1405/04/18,355.2mm,0W/m2,321.2degree,8.0°C,67.6%,6.0km/h,92.3kPa
00:00                                                     1405/04/19,355.2mm,0W/m2,271.7degree,11.7°C,64.1%,6.8km/h,91.8kPa
00:00                                                     1405/04/20,355.2mm,0W/m2,25.4degree,16.7°C,42.5%,1.5km/h,91.1kPa
00:00                                                     1405/04/21,355.2mm,0W/m2,270.6degree,22.5°C,43.5%,2.4km/h,91.2kPa
00:00                                                     1405/04/22,355.2mm,0W/m2,177.7degree,14.3°C,71.9%,7.8km/h,91.1kPa
00:00                                                     1405/04/23,366.8mm,0W/m2,205.0degree,12.0°C,93.2%,8.3km/h,91.7kPa
00:00                                                     1405/04/24,367.4mm,0W/m2,335.6degree,15.5°C,89.6%,3.3km/h,91.4kPa
00:00                                                     1405/04/25,376.8mm,0W/m2,319.1degree,14.9°C,78.1%,1.8km/h,91.6kPa
00:00                                                     1405/04/26,376.8mm,0W/m2,32.9degree,23.7°C,45.2%,1.2km/h,91.7kPa
00:00                                                     1405/04/27,376.8mm,0W/m2,328.5degree,15.0°C,61.9%,7.8km/h,91.8kPa
00:00                                                     1405/04/28,376.8mm,0W/m2,315.9degree,16.6°C,64.6%,1.7km/h,91.5kPa
00:00                                                     1405/04/30,376.8mm,0W/m2,17.4degree,15.6°C,66.7%,2.1km/h,91.5kPa
00:00                                                     1405/05/01,376.8mm,0W/m2,51.9degree,16.1°C,68.9%,10.9km/h,91.8kPa
00:00                                                     1405/05/02,376.8mm,0W/m2,340.9degree,12.8°C,76.6%,3.5km/h,91.8kPa
00:00                                                     1405/05/03,376.8mm,0W/m2,245.2degree,15.5°C,67.1%,0.1km/h,91.8kPa
00:00                                                     1405/05/04,376.8mm,0W/m2,325.5degree,16.4°C,56.3%,2.2km/h,91.8kPa
00:00                                                     1405/05/05,376.8mm,0W/m2,263.4degree,18.6°C,39.5%,3.7km/h,91.3kPa
00:00                                                     1405/05/06,376.8mm,0W/m2,289.9degree,20.5°C,38.8%,2.8km/h,91.3kPa
00:00                                                     1405/05/07,376.8mm,0W/m2,270.2degree,22.7°C,34.4%,1.7km/h,91.0kPa
00:00                                                     1405/05/08,376.8mm,0W/m2,314.6degree,19.5°C,55.7%,6.3km/h,91.7kPa
00:00                                                     1405/05/10,376.8mm,0W/m2,330.1degree,16.2°C,78.5%,6.7km/h,92.1kPa
00:00                                                     1405/05/11,378.4mm,0W/m2,328.9degree,17.0°C,65.0%,4.5km/h,92.1kPa
00:10                                                     1405/03/22,290.2mm,0W/m2,331.1degree,11.6°C,62.4%,2.3km/h,91.4kPa
00:10                                                     1405/03/23,290.6mm,0W/m2,288.9degree,12.1°C,64.0%,3.6km/h,91.7kPa
00:10                                                     1405/03/24,290.6mm,0W/m2,322.3degree,15.9°C,50.8%,6.6km/h,91.7kPa
00:10                                                     1405/03/25,290.6mm,0W/m2,210.9degree,18.0°C,49.0%,3.9km/h,91.2kPa
00:10                                                     1405/03/26,295.0mm,0W/m2,60.2degree,11.8°C,87.3%,4.4km/h,91.1kPa
00:10                                                     1405/03/27,295.0mm,0W/m2,62.6degree,14.8°C,70.7%,3.5km/h,91.2kPa
00:10                                                     1405/03/28,297.4mm,0W/m2,317.9degree,15.3°C,84.6%,5.9km/h,90.8kPa
00:10                                                     1405/03/29,304.2mm,0W/m2,275.5degree,11.7°C,69.8%,2.7km/h,90.9kPa
00:10                                                     1405/03/31,325.8mm,0W/m2,213.2degree,14.7°C,54.8%,0.4km/h,91.3kPa
00:10                                                     1405/04/04,350.6mm,0W/m2,293.3degree,11.0°C,80.4%,3.2km/h,91.3kPa
