date,T_min,T_max,T_mean,RH_min,RH_max,RH_mean,solar_max,solar_sum,wind_kmh_mean,pressure_kPa_mean,rain_mm_day,ETo_mm_day,ETc_mm_day,ETc_adj_mm_period_sum,Rn_MJ_period_sum,G_MJ_period_sum,Kc_mean,Ks_min,Dr_mm_max,VPD_kPa
2025-12-03,4.6,11.2,8.3535,34.3,85.9,56.8838,369.0,4036.0,2.2796,92.2451,130.4,0.5843,0.5941,0.5941,0.3043,-0.4724,0.993,1.0,0.0,0.474
2025-12-04,3.0,12.4,7.8299,58.8,85.6,75.425,322.0,7198.0,5.3285,92.5903,172.8,0.9781,0.9674,0.9674,1.8477,-0.289,0.9508,1.0,0.0,0.261
2025-12-05,2.8,14.7,8.2545,42.6,86.6,64.5287,386.0,11935.0,3.5497,92.6923,171.6,1.3534,1.3952,1.3952,3.3094,-0.1439,0.9757,1.0,0.0,0.387
2025-12-06,3.4,18.0,9.935,32.6,79.0,55.8385,442.0,12535.0,4.5734,92.3986,171.6,1.8139,2.0184,2.0184,3.4486,-0.1483,1.024,1.0,0.0,0.54
2025-12-07,2.0,18.4,9.5248,31.0,72.2,51.0014,393.0,13567.0,3.683,92.4291,169.2,1.7297,1.9161,1.9161,3.7381,-0.1172,1.0339,1.0,0.0,0.583
2025-12-08,3.0,21.8,10.933,23.0,69.5,48.4406,390.0,13132.0,4.9943,92.4774,127.2,1.9527,2.2223,2.2223,4.1296,0.1455,1.0599,1.0,0.0,0.674
2025-12-09,5.9,17.8,13.1357,27.9,51.2,35.9667,324.0,5648.0,2.9048,92.2024,100.8,0.9782,1.0902,1.0902,1.747,-0.1122,1.0879,1.0,0.0,0.968
2025-12-10,6.6,22.2,13.5153,18.6,52.0,33.6264,507.0,13086.0,3.9819,92.0424,172.8,2.2584,2.6527,2.6527,3.3228,-0.221,1.1102,1.0,0.0,1.028
2025-12-11,8.0,22.2,13.8701,18.4,62.1,34.9056,602.0,11997.0,4.1708,91.7576,172.8,2.0298,2.3388,2.3388,2.838,-0.2546,1.107,1.0,0.0,1.032
2025-12-12,5.3,22.8,13.1146,26.1,78.7,49.8528,460.0,11834.0,5.5181,91.6271,172.8,2.1089,2.3741,2.3741,3.1154,-0.1921,1.0601,1.0,0.0,0.757
2025-12-13,5.2,14.3,8.9972,54.9,91.2,77.6336,497.0,7510.0,8.6678,91.4965,461.6,1.1806,1.2301,1.2301,1.8675,-0.2709,0.9804,1.0,0.0,0.257
