year,week,ETo_mm_day,ETc_mm_day,rain_mm_day,T_mean,RH_mean,Kc_mean,VPD_kPa,solar_sum,week_label
2025,49,6.46,6.89,815.6,8.78,60.74,1.0,0.45,49271.0,W49
2025,50,11.62,12.99,1812.8,11.65,51.02,1.05,0.71,73284.0,W50
2025,51,3.7,3.46,45803.2,2.01,88.05,0.89,0.09,48831.0,W51
2025,52,8.72,9.1,88022.4,2.79,76.9,0.95,0.19,91146.0,W52
2026,1,10.36,11.65,95671.8,5.81,71.92,0.99,0.27,80811.0,W01
2026,2,14.89,18.55,91759.2,6.11,53.83,1.11,0.46,87616.0,W02
2026,3,14.13,17.93,137566.8,5.95,65.32,1.04,0.39,78810.0,W03
2026,4,7.99,8.97,121167.8,3.2,66.96,1.02,0.27,66885.0,W04
2026,5,10.29,11.43,164893.8,6.59,73.94,1.01,0.26,74018.0,W05
2026,6,17.01,20.8,206001.8,9.95,65.96,1.06,0.45,91411.0,W06
2026,7,26.62,33.52,234069.6,15.37,49.86,1.14,0.9,112352.0,W07
2026,8,17.8,19.9,264812.8,12.12,69.71,0.99,0.45,126641.0,W08
2026,9,9.19,10.37,131076.8,12.43,54.02,1.04,0.66,66102.0,W09
2026,10,15.81,17.32,282972.6,9.47,66.37,1.0,0.42,130331.0,W10
2026,11,15.44,17.38,281187.0,5.46,61.44,1.05,0.34,132938.0,W11
2026,12,18.79,20.59,290521.4,12.99,64.91,1.01,0.55,138178.0,W12
2026,13,24.76,29.0,298231.8,17.36,60.53,1.04,0.8,154273.0,W13
2026,14,19.01,21.86,275679.4,14.89,61.64,1.02,0.7,129143.0,W14
2026,15,17.5,19.39,261239.8,15.72,60.93,1.01,0.72,134809.0,W15
2026,16,30.98,36.28,357331.2,15.52,53.43,1.07,0.86,213450.0,W16
2026,17,26.7,29.6,359149.0,20.29,57.05,1.03,1.06,174381.0,W17
2026,18,30.44,35.37,351931.2,19.55,51.92,1.06,1.12,191917.0,W18
2026,19,38.2,45.92,344951.8,24.01,39.44,1.12,1.87,219528.0,W19
2026,20,4.82,5.6,35569.6,21.83,48.6,1.08,1.34,33628.0,W20
