date,temp_C_min,temp_C_max,temp_C_mean,humidity_pct_min,humidity_pct_max,humidity_pct_mean,solar_max,solar_sum,wind_kmh_mean,pressure_kPa_mean,rain_mm_day,ETo_mm_day,ETc_mm_day,ETc_adj_mm_day,Rn_MJ_period_sum,G_MJ_period_sum,Kc_mean,Ks_min,Dr_mm_max
2026-06-11,10.5,25.3,18.463,22.0,72.3,43.775,901.0,21839.0,7.631,91.294,35404.4,3.916,4.603,4.603,8.848,0.59,1.11,1.0,0.0
2026-06-12,8.5,23.4,14.996,36.2,76.8,58.996,846.0,17563.0,5.346,91.778,41816.0,2.758,3.104,3.104,6.608,0.281,1.02,1.0,0.0
2026-06-13,6.5,26.9,17.778,24.4,86.0,49.134,704.0,29063.0,5.458,91.94,41846.4,4.55,5.36,5.36,11.485,0.744,1.062,1.0,0.0
2026-06-14,10.3,28.3,18.804,21.7,76.8,45.97,588.0,14034.0,5.238,91.554,32837.8,2.668,3.16,3.16,5.049,0.12,1.073,1.0,0.0
2026-06-15,11.9,19.2,15.724,45.7,89.6,80.16,319.0,9783.0,6.575,90.988,42326.8,1.432,1.412,1.412,3.652,0.014,0.945,1.0,0.0
2026-06-16,10.6,26.3,17.901,34.8,91.6,65.249,904.0,23376.0,8.571,91.253,42480.0,3.994,4.774,4.774,9.488,0.586,1.031,1.0,0.0
2026-06-17,13.9,24.5,18.869,45.8,83.0,63.624,678.0,14047.0,14.788,91.007,42585.2,3.585,4.608,4.608,5.543,0.196,1.11,1.0,0.0
2026-06-18,10.6,23.6,15.006,26.1,92.2,71.418,731.0,15639.0,7.229,90.811,34532.0,2.14,2.281,2.281,5.979,0.251,0.99,1.0,0.0
2026-06-19,6.7,24.4,15.402,23.8,83.6,54.905,742.0,26897.0,4.948,90.898,39848.4,3.678,4.146,4.146,10.739,0.775,1.032,1.0,0.0
2026-06-20,7.2,25.1,17.343,18.8,84.1,48.676,937.0,22369.0,6.002,91.074,41376.6,3.649,4.24,4.24,8.943,0.58,1.071,1.0,0.0
2026-06-21,8.2,27.0,18.92,14.9,76.8,40.13,747.0,31536.0,8.234,90.996,44308.8,5.582,6.812,6.812,12.382,0.858,1.132,1.0,0.0
2026-06-22,9.8,19.3,12.365,39.8,90.7,78.062,352.0,5886.0,6.253,91.368,47207.0,1.017,0.989,0.989,1.77,-0.182,0.95,1.0,0.0
2026-06-23,8.9,14.9,11.332,63.9,88.2,74.428,523.0,14058.0,5.375,91.737,41711.6,1.693,1.674,1.674,5.857,0.339,0.955,1.0,0.0
2026-06-24,5.6,21.4,14.232,35.5,91.4,63.93,760.0,30589.0,4.244,91.402,44876.8,3.651,3.928,3.928,12.412,0.947,0.986,1.0,0.0
2026-06-25,7.3,25.1,16.263,29.3,87.5,59.722,797.0,25153.0,8.387,91.115,43825.0,4.003,4.832,4.832,9.91,0.671,1.052,1.0,0.0
2026-06-29,9.9,19.4,14.617,42.5,85.1,65.817,803.0,10398.0,6.271,91.375,31292.8,1.487,1.607,1.607,4.216,0.237,1.002,1.0,0.0
2026-06-30,6.3,22.8,13.924,38.4,91.0,68.356,846.0,29115.0,4.94,91.585,58521.6,3.574,3.806,3.806,11.405,0.788,0.976,1.0,0.0
2026-07-01,7.4,23.2,14.957,33.2,86.4,63.608,857.0,26072.0,5.892,91.936,49594.2,3.347,3.73,3.73,10.162,0.757,1.007,1.0,0.0
2026-07-02,8.0,25.7,17.475,24.0,88.7,53.858,777.0,34382.0,4.671,92.257,55324.8,4.597,5.116,5.116,13.682,1.046,1.033,1.0,0.0
2026-07-03,8.1,26.1,18.359,22.9,85.7,49.822,801.0,34685.0,4.355,91.868,54354.0,4.798,5.454,5.454,13.523,0.984,1.047,1.0,0.0
2026-07-04,10.1,29.0,19.813,19.1,82.0,48.786,771.0,33636.0,5.55,91.434,51148.8,5.214,6.109,6.109,13.131,0.947,1.065,1.0,0.0
2026-07-05,9.4,30.9,19.484,17.6,76.7,49.359,772.0,34297.0,7.219,91.531,51148.8,5.777,6.965,6.965,13.397,0.98,1.082,1.0,0.0
2026-07-06,8.8,20.3,13.166,37.5,79.5,62.519,749.0,16976.0,7.945,91.878,41203.2,2.487,2.787,2.787,6.138,0.255,1.035,1.0,0.0
2026-07-07,7.9,14.0,11.31,56.0,72.3,63.512,755.0,15813.0,10.876,91.994,51148.8,2.532,2.786,2.786,6.085,0.239,1.065,1.0,0.0
2026-07-08,5.4,17.3,11.322,36.7,81.7,56.659,797.0,29052.0,8.083,92.221,51148.8,3.803,4.56,4.56,11.456,0.779,1.061,1.0,0.0
2026-07-09,3.9,22.1,14.183,28.1,83.4,50.703,791.0,35300.0,5.246,91.906,51148.8,4.507,5.111,5.111,13.668,0.994,1.053,1.0,0.0
2026-07-10,8.2,28.6,17.189,18.4,79.8,49.197,792.0,18471.0,5.642,91.446,41203.2,3.043,3.628,3.628,6.52,0.284,1.064,1.0,0.0
2026-07-11,13.1,31.2,22.241,22.2,59.1,39.537,759.0,20284.0,3.969,91.181,51148.8,3.574,4.036,4.036,7.739,0.385,1.085,1.0,0.0
2026-07-12,14.7,26.1,21.381,31.4,70.5,47.362,352.0,13708.0,5.567,91.062,51148.8,3.011,3.389,3.389,5.063,0.136,1.071,1.0,0.0
2026-07-13,12.0,26.0,17.153,42.7,93.0,75.407,905.0,23793.0,7.012,91.331,51773.8,3.313,3.514,3.514,9.679,0.63,0.97,1.0,0.0
