datetime,time_clean,temp_C,humidity_pct,solar_Wm2,wind_kmh,pressure_kPa,Rn_MJ_period,G_MJ_period,ETo_mm_period,Kc,ETc_mm_period,ETo_mm_h,ETc_mm_h
2026-06-11 03:40:00,03:40,13.0,61.1,0.0,8.7,91.0,-0.014115,-0.007057,0.008026,1.050007,0.008427,0.048155,0.050563
2026-06-11 03:50:00,03:50,12.6,62.7,0.0,6.2,91.0,-0.014038,-0.007019,0.005238,1.014212,0.005312,0.031428,0.031875
2026-06-11 04:00:00,04:00,12.7,62.3,0.0,6.8,91.0,-0.014057,-0.007028,0.00591,1.02287,0.006045,0.035458,0.036269
2026-06-11 04:10:00,04:10,12.2,63.6,0.0,4.4,91.0,-0.014014,-0.007007,0.003254,0.989495,0.00322,0.019525,0.01932
2026-06-11 04:20:00,04:20,13.2,59.0,0.0,6.9,91.0,-0.014255,-0.007127,0.006751,1.037858,0.007006,0.040505,0.042038
2026-06-11 04:30:00,04:30,13.0,59.5,0.0,8.8,91.0,-0.014236,-0.007118,0.008499,1.057874,0.008991,0.050995,0.053946
2026-06-11 04:40:00,04:40,12.2,63.5,0.0,3.3,91.0,-0.014021,-0.00701,0.002115,0.977113,0.002067,0.012691,0.012401
2026-06-11 04:50:00,04:50,12.2,62.8,0.0,9.2,91.0,-0.014071,-0.007035,0.007835,1.048704,0.008216,0.047008,0.049297
2026-06-11 05:00:00,05:00,11.5,67.6,0.0,1.7,91.0,-0.01381,-0.006905,0.000121,0.941318,0.000114,0.000724,0.000682
2026-06-11 05:10:00,05:10,11.5,67.8,0.0,4.5,91.1,-0.013797,-0.006899,0.002751,0.973063,0.002677,0.016505,0.01606
2026-06-11 05:20:00,05:20,11.2,69.0,0.0,1.3,91.1,-0.01375,-0.006875,0.0,0.930798,0.0,0.0,0.0
2026-06-11 05:30:00,05:30,11.0,70.1,0.0,2.3,91.1,-0.0137,-0.00685,0.000546,0.937827,0.000512,0.003273,0.00307
2026-06-11 05:40:00,05:40,10.5,72.3,3.0,3.1,91.1,-0.000829,-0.000415,0.002436,0.93792,0.002285,0.014615,0.013707
2026-06-11 05:50:00,05:50,11.4,68.0,4.0,0.8,91.1,-0.000379,-0.00019,0.000777,0.929169,0.000722,0.004659,0.004329
2026-06-11 06:00:00,06:00,11.4,66.4,23.0,2.7,91.1,0.008723,0.000872,0.004552,0.957982,0.004361,0.027314,0.026167
2026-06-11 06:10:00,06:10,10.9,69.6,49.0,1.8,91.1,0.02123,0.002123,0.006061,0.934103,0.005661,0.036364,0.033968
2026-06-11 06:20:00,06:20,11.8,68.6,82.0,4.3,91.2,0.031561,0.003156,0.010273,0.967385,0.009938,0.061641,0.05963
2026-06-11 06:30:00,06:30,12.5,67.4,105.0,1.7,91.2,0.040109,0.004011,0.010413,0.942156,0.00981,0.062476,0.058862
2026-06-11 06:40:00,06:40,12.7,65.5,102.0,3.1,91.2,0.042449,0.004245,0.012225,0.966407,0.011815,0.073352,0.070888
2026-06-11 06:50:00,06:50,12.8,66.0,87.0,1.7,91.2,0.039464,0.003946,0.010428,0.948021,0.009886,0.062567,0.059315
2026-06-11 07:00:00,07:00,12.2,68.2,117.0,1.2,91.2,0.051393,0.005139,0.012343,0.932986,0.011516,0.074058,0.069095
2026-06-11 07:10:00,07:10,13.0,67.9,196.0,0.7,91.3,0.078438,0.007844,0.01823,0.928424,0.016925,0.109381,0.101552
2026-06-11 07:20:00,07:20,13.9,64.5,232.0,5.6,91.3,0.092723,0.009272,0.024963,0.999689,0.024955,0.149777,0.14973
2026-06-11 07:30:00,07:30,15.0,60.1,251.0,2.4,91.3,0.101467,0.010147,0.025971,0.980884,0.025475,0.155826,0.152847
2026-06-11 07:40:00,07:40,15.3,59.0,283.0,7.4,91.3,0.114932,0.011493,0.032692,1.043677,0.03412,0.196155,0.204722
2026-06-11 07:50:00,07:50,16.0,56.8,131.0,3.2,91.3,0.060527,0.006053,0.018363,1.004018,0.018437,0.11018,0.110622
2026-06-11 08:00:00,08:00,16.9,56.0,382.0,0.8,91.3,0.155169,0.015517,0.038705,0.979441,0.037909,0.23223,0.227455
2026-06-11 08:10:00,08:10,17.4,54.1,158.0,1.8,91.3,0.073476,0.007348,0.020539,0.999037,0.02052,0.123236,0.123117
2026-06-11 08:20:00,08:20,16.5,57.1,127.0,4.9,91.3,0.058622,0.005862,0.019941,1.022544,0.02039,0.119645,0.122343
2026-06-11 08:30:00,08:30,16.2,56.9,171.0,1.8,91.3,0.079733,0.007973,0.021313,0.987307,0.021042,0.127878,0.126255
2026-06-11 08:40:00,08:40,17.6,55.3,459.0,1.8,91.4,0.192842,0.019284,0.049072,0.99401,0.048778,0.294432,0.292668
2026-06-11 08:50:00,08:50,18.1,52.6,262.0,11.7,91.4,0.118009,0.011801,0.040942,1.120528,0.045877,0.245654,0.275262
2026-06-11 09:00:00,09:00,18.4,53.5,535.0,8.0,91.4,0.225838,0.022584,0.061161,1.0737,0.065669,0.366968,0.394014
2026-06-11 09:10:00,09:10,19.0,50.8,493.0,3.7,91.4,0.210578,0.021058,0.0565,1.034972,0.058476,0.339001,0.350857
2026-06-11 09:20:00,09:20,19.5,49.3,524.0,5.3,91.4,0.224081,0.022408,0.061665,1.059876,0.065358,0.369993,0.392146
2026-06-11 09:30:00,09:30,20.1,48.7,327.0,11.1,91.5,0.147002,0.0147,0.050188,1.129884,0.056706,0.301127,0.340239
2026-06-11 09:40:00,09:40,19.8,51.0,560.0,8.4,91.5,0.241512,0.024151,0.067538,1.088828,0.073537,0.405226,0.441222
2026-06-11 09:50:00,09:50,20.5,49.1,445.0,8.1,91.5,0.196089,0.019609,0.058732,1.093297,0.064211,0.35239,0.385267
2026-06-11 10:00:00,10:00,21.6,42.7,557.0,9.0,91.5,0.241181,0.024118,0.073211,1.130582,0.082771,0.439265,0.496625
