زمان,گلخانه,دستگاه,باران 6 (mm),تابش خورشیدی 7 (W/m2),جهت باد 5 (degree),دما 1 (°C),رطوبت 2 (%),سرعت باد 4 (km/h),فشار هوا 3 (kPa)
04:45                                                     1405/02/20,گلخانه اردکانیان,دستگاه 1,378.2mm,4W/m2,--,--,--,4.4km/h,--
04:55                                                     1405/02/20,گلخانه اردکانیان,دستگاه 1,378.2mm,11W/m2,--,14.7°C,78.8%,3.4km/h,91.9kPa
05:05                                                     1405/02/20,گلخانه اردکانیان,دستگاه 1,378.2mm,34W/m2,--,14.4°C,81.5%,1km/h,91.9kPa
05:15                                                     1405/02/20,گلخانه اردکانیان,دستگاه 1,378.4mm,52W/m2,--,14.8°C,81.6%,5.1km/h,91.9kPa
05:25                                                     1405/02/20,گلخانه اردکانیان,دستگاه 1,378.4mm,71W/m2,--,15.5°C,79.5%,4.1km/h,91.9kPa
05:35                                                     1405/02/20,گلخانه اردکانیان,دستگاه 1,378.4mm,93W/m2,--,15.7°C,80.6%,2.5km/h,92kPa
05:45                                                     1405/02/20,گلخانه اردکانیان,دستگاه 1,378.4mm,115W/m2,--,16.4°C,78.3%,2.1km/h,92kPa
05:55                                                     1405/02/20,گلخانه اردکانیان,دستگاه 1,378.4mm,137W/m2,--,16.9°C,74.7%,6.5km/h,92kPa
06:05                                                     1405/02/20,گلخانه اردکانیان,دستگاه 1,378.4mm,166W/m2,--,17.1°C,72.9%,11.8km/h,92kPa
06:15                                                     1405/02/20,گلخانه اردکانیان,دستگاه 1,378.4mm,189W/m2,--,17.4°C,71.6%,10.5km/h,92.3kPa
06:25                                                     1405/02/20,گلخانه اردکانیان,دستگاه 1,378.4mm,213W/m2,--,17.7°C,70.1%,13.2km/h,92kPa
06:35                                                     1405/02/20,گلخانه اردکانیان,دستگاه 1,378.4mm,239W/m2,--,18°C,69.1%,13.6km/h,92kPa
06:45                                                     1405/02/20,گلخانه اردکانیان,دستگاه 1,378.4mm,266W/m2,--,18.3°C,66.5%,23.6km/h,91.8kPa
06:55                                                     1405/02/20,گلخانه اردکانیان,دستگاه 1,378.4mm,293W/m2,--,18.6°C,65%,5.9km/h,91.8kPa
07:05                                                     1405/02/20,گلخانه اردکانیان,دستگاه 1,378.4mm,321W/m2,--,18.8°C,63.6%,6.4km/h,91.8kPa
07:15                                                     1405/02/20,گلخانه اردکانیان,دستگاه 1,378.4mm,351W/m2,--,19.1°C,61.1%,16.8km/h,91.8kPa
07:25                                                     1405/02/20,گلخانه اردکانیان,دستگاه 1,378.4mm,381W/m2,--,19.7°C,61.3%,19.2km/h,91.9kPa
07:35                                                     1405/02/20,گلخانه اردکانیان,دستگاه 1,378.4mm,416W/m2,--,20°C,62.3%,14.9km/h,92kPa
07:45                                                     1405/02/20,گلخانه اردکانیان,دستگاه 1,378.4mm,436W/m2,--,20.2°C,61.5%,9.9km/h,91.9kPa
07:55                                                     1405/02/20,گلخانه اردکانیان,دستگاه 1,378.4mm,467W/m2,--,20.5°C,60.8%,7.1km/h,91.9kPa
08:05                                                     1405/02/20,گلخانه اردکانیان,دستگاه 1,378.4mm,492W/m2,--,20.5°C,61%,4.6km/h,92kPa
08:15                                                     1405/02/20,گلخانه اردکانیان,دستگاه 1,378.4mm,522W/m2,--,20.8°C,56.9%,8.8km/h,91.7kPa
08:25                                                     1405/02/20,گلخانه اردکانیان,دستگاه 1,378.4mm,548W/m2,--,21.3°C,57.1%,5.3km/h,91.8kPa
08:35                                                     1405/02/20,گلخانه اردکانیان,دستگاه 1,378.4mm,570W/m2,--,21.4°C,54.2%,12.1km/h,91.7kPa
08:55                                                     1405/02/20,گلخانه اردکانیان,دستگاه 1,378.4mm,639W/m2,--,21.5°C,54.4%,2.4km/h,91.8kPa
09:05                                                     1405/02/20,گلخانه اردکانیان,دستگاه 1,378.4mm,645W/m2,--,22°C,50.6%,11.4km/h,91.6kPa
09:15                                                     1405/02/20,گلخانه اردکانیان,دستگاه 1,378.4mm,380W/m2,--,22.2°C,51.7%,5.7km/h,91.7kPa
09:25                                                     1405/02/20,گلخانه اردکانیان,دستگاه 1,378.4mm,715W/m2,--,22.3°C,51.4%,9.3km/h,91.8kPa
09:35                                                     1405/02/20,گلخانه اردکانیان,دستگاه 1,378.4mm,718W/m2,--,22.5°C,48.1%,7.8km/h,91.6kPa
