زمان,گلخانه,دستگاه,باران 6 (mm),تابش خورشیدی 7 (W/m2),جهت باد 5 (degree),دما 1 (°C),رطوبت 2 (%),سرعت باد 4 (km/h),فشار هوا 3 (kPa)
03:47                                                     1405/02/17,گلخانه اردکانیان,دستگاه 1,376.8mm,--,--,--,47.6%,--,91kPa
03:57                                                     1405/02/17,گلخانه اردکانیان,دستگاه 1,376.8mm,0W/m2,--,18.1°C,47%,5km/h,91kPa
04:07                                                     1405/02/17,گلخانه اردکانیان,دستگاه 1,376.8mm,0W/m2,--,17.3°C,50%,1.8km/h,91kPa
04:17                                                     1405/02/17,گلخانه اردکانیان,دستگاه 1,376.8mm,0W/m2,--,18.1°C,49.5%,1.4km/h,91.1kPa
04:27                                                     1405/02/17,گلخانه اردکانیان,دستگاه 1,376.8mm,0W/m2,--,18.5°C,44.7%,1.4km/h,91.1kPa
04:37                                                     1405/02/17,گلخانه اردکانیان,دستگاه 1,376.8mm,3W/m2,--,18.2°C,46.7%,1.9km/h,91.1kPa
04:47                                                     1405/02/17,گلخانه اردکانیان,دستگاه 1,376.8mm,7W/m2,--,19.7°C,41.8%,0.9km/h,91.2kPa
04:57                                                     1405/02/17,گلخانه اردکانیان,دستگاه 1,376.8mm,18W/m2,--,20.4°C,40.7%,1.8km/h,91.2kPa
05:07                                                     1405/02/17,گلخانه اردکانیان,دستگاه 1,376.8mm,31W/m2,--,21.3°C,36%,2.6km/h,91.2kPa
05:17                                                     1405/02/17,گلخانه اردکانیان,دستگاه 1,376.8mm,46W/m2,--,21.3°C,37.8%,2.1km/h,91.3kPa
05:27                                                     1405/02/17,گلخانه اردکانیان,دستگاه 1,376.8mm,63W/m2,--,21.3°C,37.4%,1.1km/h,91.3kPa
05:37                                                     1405/02/17,گلخانه اردکانیان,دستگاه 1,376.8mm,81W/m2,--,19.7°C,46.5%,2km/h,91.2kPa
05:47                                                     1405/02/17,گلخانه اردکانیان,دستگاه 1,376.8mm,103W/m2,--,19.4°C,49.9%,0.8km/h,91.3kPa
05:57                                                     1405/02/17,گلخانه اردکانیان,دستگاه 1,376.8mm,128W/m2,--,20°C,49.5%,1km/h,91.3kPa
06:07                                                     1405/02/17,گلخانه اردکانیان,دستگاه 1,376.8mm,154W/m2,--,21.4°C,46.5%,2.3km/h,91.3kPa
06:27                                                     1405/02/17,گلخانه اردکانیان,دستگاه 1,376.8mm,207W/m2,--,22.7°C,44.6%,2.4km/h,91.4kPa
06:37                                                     1405/02/17,گلخانه اردکانیان,دستگاه 1,376.8mm,237W/m2,--,23.2°C,43.7%,1.8km/h,91.4kPa
06:57                                                     1405/02/17,گلخانه اردکانیان,دستگاه 1,376.8mm,294W/m2,--,25.8°C,31.9%,3.2km/h,91.5kPa
07:07                                                     1405/02/17,گلخانه اردکانیان,دستگاه 1,376.8mm,321W/m2,--,26.6°C,27.8%,7km/h,91.5kPa
07:17                                                     1405/02/17,گلخانه اردکانیان,دستگاه 1,376.8mm,351W/m2,--,27.2°C,28.7%,5.1km/h,91.6kPa
07:27                                                     1405/02/17,گلخانه اردکانیان,دستگاه 1,376.8mm,377W/m2,--,27.2°C,30.5%,3.1km/h,91.6kPa
07:47                                                     1405/02/17,گلخانه اردکانیان,دستگاه 1,376.8mm,432W/m2,--,27.9°C,29.4%,4.3km/h,91.6kPa
07:57                                                     1405/02/17,گلخانه اردکانیان,دستگاه 1,376.8mm,458W/m2,--,28.2°C,29%,9km/h,91.6kPa
08:07                                                     1405/02/17,گلخانه اردکانیان,دستگاه 1,376.8mm,488W/m2,--,28.2°C,31.2%,5.5km/h,91.6kPa
08:17                                                     1405/02/17,گلخانه اردکانیان,دستگاه 1,376.8mm,509W/m2,--,28.2°C,30%,7.4km/h,91.6kPa
08:27                                                     1405/02/17,گلخانه اردکانیان,دستگاه 1,376.8mm,545W/m2,--,28.6°C,30.8%,5.3km/h,91.6kPa
08:37                                                     1405/02/17,گلخانه اردکانیان,دستگاه 1,376.8mm,602W/m2,--,29.3°C,29.7%,4.2km/h,91.7kPa
08:47                                                     1405/02/17,گلخانه اردکانیان,دستگاه 1,376.8mm,551W/m2,--,29°C,30.1%,9.8km/h,91.6kPa
08:57                                                     1405/02/17,گلخانه اردکانیان,دستگاه 1,376.8mm,295W/m2,--,29.1°C,31.7%,7.9km/h,91.6kPa
